           100k	  1	         SM0603	"R5"
           100n	  6	    SM0603_Capa	"C1, C2, C3, C4, C5, C10"
            10R	  2	         SM0603	"R1, R2"
           10uH	  1	      SM0603_NC	"L1"
             1k	  2	         SM0603	"R3, R4"
           2.2u	  2	    SM0603_Capa	"C6, C7"
            20k	  1	         SM0603	"R6"
           4.7u	  1	         SM0805	"C9"
           470p	  1	    SM0603_Capa	"C8"
           8MHz	  1	SparkFun-RESONATOR-SMD	"Y1"
       CDBU0530	  2	       SOD-523F	"D2, D3"
      CHRG_STAT	  1	SparkFun-PAD.03X.03	"P6"
         CONN_1	  1	  SparkFun-1X01	"P5"
          DEBUG	  1	SparkFun-1X05_LOCK	"P4"
        INT_USB	  1	  SparkFun-1X04	"J3"
            LED	  1	       LED-0603	"D1"
      LEFT_PINS	  1	SparkFun-1X05_LOCK	"P3"
     LOWER_PINS	  1	SparkFun-1X14_LOCK	"P2"
   MCP73831-SOT	  1	        SOT23-5	"U3"
        MIC5205	  1	        SOT23-5	"U4"
       MINI_USB	  1	SparkFun-USB-MINIB	"J2"
MOSFET-PCHANNEL	  1	         SOT323	"Q1"
          RESET	  1	          EVQP2	"S1"
SOLDERJUMPER_2WAYT	  1	  SparkFun-SJ_2	"SJ1"
SPI_FLASH-X25XXSMD	  1	  SparkFun-SO08	"U2"
STM32L15X_QFN48	  1	         LQFP48	"U1"
     UPPER_PINS	  1	SparkFun-1X14_LOCK	"P1"
          USB_2	  1	SparkFun-USB-A-PCB	"J1"
